# submission, BLEUall, BLEUsrf, BLEUfn, chrF++all, chrF++srf, chrF++fn, BLEURTall, BLEURTsrf, BLEURTfn
DFKI-Berlin_slt.1, 0.08 ± 0.01, 0.10 ± 0.04, 0.11 ± 0.02, 15.57 ± 0.30, 15.29 ± 0.43, 15.90 ± 0.45, 0.109 ± 0.006, 0.093 ± 0.004, 0.122 ± 0.009
DFKI-MLT.1, 0.07 ± 0.05, 0.05 ± 0.02, 0.12 ± 0.10, 6.15 ± 0.36, 5.90 ± 0.49, 6.41 ± 0.53, 0.1 ± 0.008, 0.097 ± 0.009, 0.1 ± 0.012
DFKI-MLT.2, 0.11 ± 0.06, 0.08 ± 0.03, 0.17 ± 0.13, 6.29 ± 0.40, 6.44 ± 0.60, 6.14 ± 0.57, 0.083 ± 0.008, 0.074 ± 0.008, 0.091 ± 0.013
DFKI-MLT.3, 0.08 ± 0.04, 0.06 ± 0.02, 0.13 ± 0.10, 6.13 ± 0.42, 6.27 ± 0.63, 5.99 ± 0.59, 0.075 ± 0.009, 0.067 ± 0.009, 0.081 ± 0.014
DFKI-MLT.4, 0.02 ± 0.01, 0.02 ± 0.01, 0.04 ± 0.02, 3.86 ± 0.20, 3.65 ± 0.25, 4.11 ± 0.31, 0.066 ± 0.004, 0.063 ± 0.004, 0.07 ± 0.008
DFKI-MLT.5, 0.04 ± 0.02, 0.03 ± 0.00, 0.08 ± 0.04, 5.20 ± 0.23, 4.92 ± 0.29, 5.46 ± 0.37, 0.078 ± 0.004, 0.074 ± 0.005, 0.08 ± 0.007
MSMunich.1, 0.44 ± 0.21, 0.34 ± 0.18, 0.63 ± 0.35, 14.74 ± 0.48, 14.14 ± 0.62, 15.32 ± 0.78, 0.166 ± 0.013, 0.147 ± 0.012, 0.179 ± 0.022
MSMunich.2, 0.56 ± 0.30, 0.28 ± 0.13, 0.84 ± 0.51, 14.93 ± 0.42, 14.54 ± 0.48, 15.30 ± 0.67, 0.15 ± 0.011, 0.132 ± 0.008, 0.163 ± 0.019
REFERENCE, 100.00 ± 0.00, 100.00 ± 0.00, 100.00 ± 0.00, 100.00 ± 0.00, 100.00 ± 0.00, 100.00 ± 0.00, 0.967 ± 0.002, 0.969 ± 0.002, 0.966 ± 0.003
SLT_UPC.1, 0.34 ± 0.22, 0.29 ± 0.14, 0.43 ± 0.33, 13.52 ± 0.51, 13.43 ± 0.68, 13.65 ± 0.70, 0.131 ± 0.005, 0.126 ± 0.006, 0.136 ± 0.008
SLT_UPC.2, 0.35 ± 0.21, 0.29 ± 0.14, 0.43 ± 0.30, 14.03 ± 0.46, 13.43 ± 0.68, 14.64 ± 0.75, 0.136 ± 0.004, 0.126 ± 0.006, 0.145 ± 0.007
SLT_UPC.3, 0.41 ± 0.33, 0.24 ± 0.10, 0.54 ± 0.47, 13.39 ± 0.49, 13.08 ± 0.65, 13.73 ± 0.81, 0.144 ± 0.006, 0.131 ± 0.006, 0.157 ± 0.01
SLT_UPC.4, 0.28 ± 0.09, 0.26 ± 0.11, 0.37 ± 0.16, 10.96 ± 0.39, 11.07 ± 0.54, 10.87 ± 0.55, 0.113 ± 0.004, 0.122 ± 0.006, 0.103 ± 0.006
SLT_UPC.5, 0.24 ± 0.10, 0.32 ± 0.14, 0.25 ± 0.12, 10.84 ± 0.36, 10.99 ± 0.55, 10.69 ± 0.48, 0.102 ± 0.004, 0.11 ± 0.006, 0.094 ± 0.006
SLT_UPC.6, 0.28 ± 0.09, 0.26 ± 0.11, 0.37 ± 0.16, 10.96 ± 0.39, 11.07 ± 0.54, 10.87 ± 0.55, 0.113 ± 0.004, 0.122 ± 0.006, 0.103 ± 0.006
SLT_UPC.7, 0.50 ± 0.26, 0.37 ± 0.13, 0.61 ± 0.38, 11.11 ± 0.45, 10.85 ± 0.62, 11.39 ± 0.68, 0.111 ± 0.006, 0.11 ± 0.007, 0.111 ± 0.011
Zifan-test.1, 0.12 ± 0.06, 0.09 ± 0.03, 0.19 ± 0.11, 4.70 ± 0.42, 4.46 ± 0.48, 4.96 ± 0.68, 0.102 ± 0.006, 0.095 ± 0.006, 0.11 ± 0.009
njupt-mtt.1, 0.09 ± 0.01, 0.13 ± 0.03, 0.13 ± 0.03, 12.51 ± 0.42, 12.67 ± 0.57, 12.36 ± 0.63, 0.127 ± 0.006, 0.125 ± 0.007, 0.13 ± 0.009
njupt-mtt.2, 0.10 ± 0.01, 0.13 ± 0.03, 0.14 ± 0.03, 12.00 ± 0.40, 12.02 ± 0.55, 12.00 ± 0.61, 0.117 ± 0.006, 0.117 ± 0.007, 0.117 ± 0.009
slattic.1, 0.25 ± 0.12, 0.30 ± 0.18, 0.24 ± 0.10, 16.58 ± 0.36, 16.39 ± 0.45, 16.76 ± 0.58, 0.074 ± 0.01, 0.055 ± 0.007, 0.09 ± 0.016
slattic.2, 0.20 ± 0.14, 0.32 ± 0.23, 0.10 ± 0.02, 15.36 ± 0.42, 14.97 ± 0.55, 15.75 ± 0.62, 0.092 ± 0.012, 0.08 ± 0.01, 0.098 ± 0.017
slattic.3, 0.14 ± 0.09, 0.21 ± 0.16, 0.09 ± 0.06, 14.91 ± 0.38, 14.58 ± 0.47, 15.20 ± 0.57, 0.096 ± 0.012, 0.081 ± 0.01, 0.106 ± 0.019
slattic.4, 0.19 ± 0.15, 0.28 ± 0.23, 0.11 ± 0.02, 16.99 ± 0.39, 17.08 ± 0.53, 16.87 ± 0.62, 0.088 ± 0.011, 0.067 ± 0.006, 0.107 ± 0.019
slattic.5, 0.18 ± 0.06, 0.21 ± 0.09, 0.19 ± 0.10, 15.49 ± 0.42, 15.19 ± 0.49, 15.80 ± 0.67, 0.107 ± 0.011, 0.093 ± 0.007, 0.119 ± 0.019
slattic.6, 0.07 ± 0.03, 0.15 ± 0.07, 0.04 ± 0.01, 13.28 ± 0.34, 13.36 ± 0.46, 13.15 ± 0.53, 0.103 ± 0.01, 0.094 ± 0.006, 0.11 ± 0.017
